name,lat,lon
NA,50.1747889,18.9050736
NA,50.1747925,18.9050836
NA,50.174799,18.9054337
NA,50.1747991,18.9054353
NA,50.1747997,18.9053176
NA,50.174801,18.9053183
NA,50.1748099,18.9054905
NA,50.1748185,18.9053676
NA,50.1748435,18.9056967
NA,50.1748459,18.9056967
NA,50.1748494,18.9057181
NA,50.1748636,18.9052779
NA,50.1748709,18.905268
NA,50.1748765,18.9053202
NA,50.1748812,18.9056872
NA,50.1748855,18.9057097
NA,50.1748905,18.9052481
NA,50.1749015,18.9052407
NA,50.1749034,18.9052904
NA,50.1749291,18.9056335
NA,50.1749323,18.9056756
NA,50.1749333,18.905265
NA,50.1749445,18.9053851
NA,50.1749509,18.9054592
NA,50.1749523,18.9054647
NA,50.174954,18.9054648
NA,50.174968,18.9053651
NA,50.174984,18.905458
NA,50.1749994,18.9056166
NA,50.1750245,18.9048743
NA,50.1750587,18.904972
NA,50.1750904,18.9050772
NA,50.1750921,18.9050719
NA,50.1755135,18.9049641
NA,50.1755141,18.9052341
NA,50.2099218,18.9777213
NA,50.2097278,18.9766686
NA,50.2098819,18.9777384
NA,50.2103242,18.9775662
NA,50.2097511,18.9768192
NA,50.2097682,18.9769391
NA,50.2098703,18.9776568
NA,50.2105285,18.977016
NA,50.2104457,18.9764376
NA,50.210586,18.9774818
NA,50.2232295,18.9496925
NA,50.2233721,18.9496565
NA,50.2229394,18.950582
NA,50.2229706,18.9504898
NA,50.2231181,18.9519298
NA,50.2231968,18.949698
NA,50.2232165,18.9503873
NA,50.223287,18.9503745
NA,50.2234952,18.9518119
NA,50.2235099,18.9518734
NA,50.2240292,18.9509118
NA,50.2240431,18.9510311
NA,50.2235649,18.9529935
NA,50.2238427,18.9495033
NA,50.2238509,18.949552
NA,50.2238808,18.952676
NA,50.2241362,18.951671
NA,50.2234706,18.9557806
NA,50.2234393,18.9535234
NA,50.2235053,18.9535083
NA,50.2232457,18.9538724
NA,50.2233811,18.9539004
NA,50.2233939,18.9535199
NA,50.2234286,18.9537699
NA,50.2236821,18.9557634
NA,50.2238378,18.955701
NA,50.2239378,18.9556686
NA,50.2239447,18.95572
NA,50.2240726,18.9556322
NA,50.2240813,18.9556871
NA,50.2241607,18.9555983
NA,50.2241694,18.9556532
NA,50.2241984,18.9545436
NA,50.2242081,18.9546404
NA,50.2262794,18.9591917
NA,50.2264532,18.958664
NA,50.2267681,18.9589589
NA,50.2235376,18.9530706
NA,50.2235921,18.953451
NA,50.2237607,18.9557261
NA,50.2240977,18.9543431
NA,50.2241536,18.9543338
NA,50.224189,18.9546975
NA,50.2242134,18.9546885
NA,50.2242934,18.9556071
NA,50.2262411,18.9591561
NA,50.2264349,18.9586473
NA,50.2268258,18.9590111
NA,50.226981,18.9591556
NA,50.2270207,18.9592526
NA,50.2270376,18.9592083
NA,50.2270651,18.9592939
NA,50.2270946,18.9593214
NA,50.2265518,18.9550133
NA,50.2265558,18.9551038
NA,50.2265558,18.9551063
NA,50.2265558,18.9551087
NA,50.2265559,18.9550989
NA,50.2265559,18.9551014
NA,50.2265559,18.9551111
NA,50.2265559,18.9551136
NA,50.226556,18.955116
NA,50.2265561,18.9550965
NA,50.2265561,18.9551184
NA,50.2265562,18.9550941
NA,50.2265563,18.9550917
NA,50.2265563,18.9551209
NA,50.2265564,18.9551233
NA,50.2265565,18.9550892
NA,50.2265566,18.9551257
NA,50.2265567,18.9550868
NA,50.2265569,18.9551281
NA,50.226557,18.9550844
NA,50.2265571,18.9551305
NA,50.2265572,18.955082
NA,50.2265574,18.9551329
NA,50.2265575,18.9550796
NA,50.2265577,18.9551353
NA,50.2265578,18.9550772
NA,50.226558,18.9551377
NA,50.2265582,18.9550748
NA,50.2265584,18.9551401
NA,50.2265586,18.9550725
NA,50.2265588,18.9551424
NA,50.2265589,18.9550704
NA,50.2265592,18.9551448
NA,50.2265596,18.9551471
NA,50.2265601,18.9551494
NA,50.2265606,18.9551518
NA,50.2265611,18.9551541
NA,50.2265616,18.9551563
NA,50.2265622,18.9551586
NA,50.2265628,18.9551609
NA,50.2265634,18.9551631
NA,50.2265641,18.9551653
NA,50.2265647,18.9551675
NA,50.2265654,18.9551697
NA,50.2265661,18.9551719
NA,50.2265669,18.955174
NA,50.2265676,18.9551762
NA,50.2265684,18.9551783
NA,50.2265692,18.9551803
NA,50.2265701,18.9551824
NA,50.2265709,18.9551845
NA,50.2265718,18.9551865
NA,50.2265727,18.9551885
NA,50.2265737,18.9551906
NA,50.2265812,18.9552508
NA,50.2266237,18.9552387
NA,50.2266251,18.9552395
NA,50.2266265,18.9552402
NA,50.226628,18.9552408
NA,50.2266294,18.9552414
NA,50.2266308,18.955242
NA,50.2266323,18.9552425
NA,50.2266337,18.955243
NA,50.2266352,18.9552435
NA,50.2266366,18.9552439
NA,50.2266381,18.9552443
NA,50.2266395,18.9552446
NA,50.226641,18.9552449
NA,50.2266425,18.9552452
NA,50.226644,18.9552454
NA,50.2266454,18.9552456
NA,50.2266469,18.9552457
NA,50.2266484,18.9552458
NA,50.2266499,18.9552459
NA,50.2266514,18.9552459
NA,50.2266528,18.9552459
NA,50.2266543,18.9552458
NA,50.2266558,18.9552457
NA,50.2266573,18.9552456
NA,50.2266588,18.9552454
NA,50.2266602,18.9552452
NA,50.2266617,18.9552449
NA,50.2266632,18.9552446
NA,50.2266646,18.9552443
NA,50.2266661,18.9552439
NA,50.2266675,18.9552434
NA,50.226669,18.955243
NA,50.2266705,18.9552425
NA,50.2266719,18.955242
NA,50.2266733,18.9552414
NA,50.2266747,18.9552408
NA,50.2266762,18.9552401
NA,50.2266776,18.9552394
NA,50.226679,18.9552387
NA,50.2266804,18.9552379
NA,50.2266818,18.9552371
NA,50.2266832,18.9552362
NA,50.2266845,18.9552353
NA,50.2266859,18.9552344
NA,50.2266872,18.9552335
NA,50.2266886,18.9552325
NA,50.2266899,18.9552314
NA,50.2266912,18.9552304
NA,50.2266925,18.9552293
NA,50.2266938,18.9552281
NA,50.2266951,18.955227
NA,50.2266963,18.9552257
NA,50.2266976,18.9552245
NA,50.2266988,18.9552232
NA,50.2267,18.9552219
NA,50.2267012,18.9552206
NA,50.2267024,18.9552192
NA,50.2267036,18.9552178
NA,50.2267048,18.9552163
NA,50.226706,18.9552148
NA,50.2267302,18.9549584
NA,50.2267359,18.9550007
NA,50.2267368,18.9550027
NA,50.226738,18.9550054
NA,50.2267392,18.955008
NA,50.2267403,18.9550107
NA,50.2267414,18.9550134
NA,50.2267425,18.9550162
NA,50.2267435,18.955019
NA,50.2267445,18.9550218
NA,50.2267455,18.9550246
NA,50.2267465,18.9550275
NA,50.2267474,18.9550304
NA,50.2267482,18.9550333
NA,50.2267491,18.9550362
NA,50.2267499,18.9550392
NA,50.2267507,18.9550422
NA,50.2267514,18.9550452
NA,50.2267522,18.9550482
NA,50.2267528,18.9550513
NA,50.2267535,18.9550543
NA,50.2267541,18.9550574
NA,50.2267547,18.9550605
NA,50.2267552,18.9550636
NA,50.2267555,18.955156
NA,50.2267557,18.9550667
NA,50.2267559,18.9551529
NA,50.2267562,18.9550698
NA,50.2267564,18.9551498
NA,50.2267566,18.955073
NA,50.2267568,18.9551466
NA,50.226757,18.9550762
